x;y
-113;130
-113;128
-113;126
-113;122
-113;122
-113;120
-113;114
-113;111
-113;108
-113;101
-113;98
-113;94
-113;91
-113;84
-113;81
-113;78
-113;72
-113;69
-113;67
-113;64
-113;62
-113;58
-113;49
-113;44
-113;39
-113;30
-113;25
-113;22
-113;15
-113;11
-113;7
-111;0
-110;-4
-108;-9
-106;-13
-103;-22
-103;-25
-103;-29
-103;-33
-103;-36
-103;-40
-103;-44
-103;-51
-103;-54
-103;-57
-103;-61
-103;-68
-103;-71
-103;-74
-103;-78
-103;-84
-103;-88
-103;-91
-103;-96
-103;-98
-103;-101
-103;-104
-103;-106
-103;-109
-103;-111
-103;-113
-103;-116
