;time;x;y;fx;fy
;63;120;-120;0;0
;126;120;-120;0;0
;189;120;-120;0;0
;252;120;-120;0;57
;315;120;-120;0;57
;378;120;-120;0;57
;441;120;-120;0;57
;504;120;-120;0;57
;567;120;-120;0;57
;630;120;-119;0;185
;693;120;-114;0;185
;756;120;-112;0;185
;819;120;-109;0;185
;882;120;-107;0;185
;945;120;-100;0;247
;1008;120;-95;0;247
;1071;120;-90;0;247
;1134;120;-86;0;247
;1197;120;-76;0;247
;1260;120;-72;0;224
;1323;120;-69;0;224
;1386;120;-66;0;224
;1449;120;-59;0;224
;1512;120;-56;0;224
;1575;120;-52;0;245
;1638;120;-47;0;245
;1701;120;-38;0;245
;1764;120;-33;0;245
;1827;120;-28;0;245
;1890;120;-24;0;273
;1953;120;-14;0;273
;2016;120;-9;0;273
;2079;120;-5;0;273
;2142;120;3;0;232
;2205;120;7;0;232
;2268;120;10;0;232
;2331;120;13;0;232
;2394;120;17;0;232
;2457;120;23;0;173
;2520;120;26;0;173
;2583;120;28;0;173
;2646;120;33;0;173
;2709;120;36;0;173
;2772;120;38;0;162
;2835;120;41;0;162
;2898;120;43;0;162
;2961;120;48;0;162
;3024;120;51;0;162
;3087;120;53;0;162
;3150;120;56;0;187
;3213;120;61;0;187
;3276;120;63;0;187
;3339;120;66;0;187
;3402;120;68;0;187
;3465;120;73;0;172
;3528;120;76;0;172
;3591;120;78;0;172
;3654;120;81;0;172
;3717;120;86;0;162
;3780;120;88;0;162
;3843;120;91;0;162
;3906;120;93;0;162
;3969;120;98;0;162
;4032;120;100;0;106
;4095;120;100;0;106
;4158;120;100;0;106
;4221;120;100;0;106
;4284;120;100;0;106
;4347;120;100;0;73
;4410;120;100;0;73
;4473;120;100;0;73
;4536;120;100;0;73
;4599;120;100;0;73
;4662;120;100;0;153
;4725;120;104;0;153
;4788;120;106;0;153
;4851;120;108;0;153
;4914;120;110;0;153
;4977;120;112;0;104
;5040;120;112;0;104
;5103;120;112;0;104
;5166;120;112;0;104
;5229;120;112;0;104
;5292;120;112;0;0
;5355;120;112;0;0
;5418;120;112;0;0
;5481;120;112;0;0
;5544;120;112;0;0
;5607;120;113;0;134
;5670;120;117;0;134
;5733;120;119;0;134
;5796;120;120;0;134
;5859;120;122;0;134
;5922;120;123;0;0
;5985;120;123;0;0
;6048;120;123;0;0
;6111;120;123;0;0
;6174;120;123;0;0
;6237;120;123;0;0
;6300;120;123;0;0
;6363;120;123;0;-26
;6426;120;123;0;-26
;6489;120;123;0;-26
;6552;120;123;0;-26
;6615;120;123;0;-26
;6678;120;123;0;0
;6741;120;123;0;0
;6804;120;123;0;0
;6867;120;123;0;0
;6930;120;123;0;0
;6993;120;123;0;0
;7056;120;123;0;0
;7119;120;123;0;0
;7182;120;123;0;0
;7245;120;123;0;-37
;7308;120;123;0;-37
;7371;120;123;0;-37
;7434;120;123;-29;-37
;7497;120;123;-29;-37
;7560;120;123;-29;-37
;7623;120;123;-29;-59
;7686;120;123;-29;-59
;7749;120;123;-39;-59
;7812;120;123;-39;-59
;7875;120;123;-39;-59
;7938;120;123;-39;-81
;8001;120;123;-56;-81
;8064;120;123;-56;-81
;8127;120;123;-56;-81
;8190;120;123;-56;-81
;8253;120;123;-56;-93
;8316;120;123;-61;-93
;8379;120;123;-61;-93
;8442;120;123;-61;-93
;8505;120;123;-61;-105
;8568;120;123;-61;-105
;8631;120;123;-90;-105
;8694;120;123;-90;-105
;8757;120;123;-90;-105
;8820;120;122;-90;-129
;8883;120;120;-90;-129
;8946;119;119;-113;-129
;9009;116;115;-113;-129
;9072;115;113;-113;-129
;9135;113;112;-113;-151
;9198;112;110;-113;-151
;9261;108;106;-156;-151
;9324;106;104;-156;-151
;9387;104;101;-156;-151
;9450;102;99;-156;-119
;9513;98;96;-108;-119
;9576;98;95;-108;-119
;9639;98;93;-108;-119
;9702;98;92;-108;-119
;9765;98;88;-108;-162
;9828;98;86;-108;-162
;9891;96;83;-160;-162
;9954;93;81;-160;-162
;10017;88;76;-160;-162
;10080;86;74;-160;-137
;10143;84;72;-160;-137
;10206;81;70;-221;-137
;10269;74;66;-221;-137
;10332;71;64;-221;-137
;10395;67;62;-221;-148
;10458;61;58;-137;-148
;10521;59;56;-137;-148
;10584;57;54;-137;-148
;10647;55;52;-137;-148
;10710;53;50;-137;-156
;10773;49;46;-158;-156
;10836;47;44;-158;-156
;10899;45;42;-158;-156
;10962;43;39;-158;-156
;11025;39;35;-158;-146
;11088;37;33;-192;-146
;11151;34;31;-192;-146
;11214;31;29;-192;-146
;11277;25;25;-192;-143
;11340;22;23;-192;-143
;11403;19;21;-192;-143
;11466;16;19;-177;-143
;11529;11;15;-177;-143
;11592;8;13;-177;-186
;11655;6;11;-177;-186
;11718;1;6;-177;-186
;11781;0;3;-152;-186
;11844;-2;0;-152;-186
;11907;-4;-1;-152;-186
;11970;-7;-5;-152;-237
;12033;-11;-12;-152;-237
;12096;-13;-15;-149;-237
;12159;-15;-19;-149;-237
;12222;-17;-22;-149;-237
;12285;-21;-28;-149;-182
;12348;-23;-30;-149;-182
;12411;-25;-33;-176;-182
;12474;-28;-36;-176;-182
;12537;-33;-40;-176;-140
;12600;-35;-42;-176;-140
;12663;-38;-44;-176;-140
;12726;-40;-46;-166;-140
;12789;-45;-50;-166;-140
;12852;-48;-52;-166;-131
;12915;-50;-54;-166;-131
;12978;-53;-56;-166;-131
;13041;-57;-59;-139;-131
;13104;-59;-61;-139;-131
;13167;-61;-63;-139;-139
;13230;-63;-65;-139;-139
;13293;-67;-68;-142;-139
;13356;-69;-70;-142;-139
;13419;-71;-72;-142;-139
;13482;-73;-74;-142;-151
;13545;-77;-78;-142;-151
;13608;-79;-80;-156;-151
;13671;-81;-83;-156;-151
;13734;-83;-85;-156;-151
;13797;-87;-89;-156;-165
;13860;-89;-92;-156;-165
;13923;-91;-94;-134;-165
;13986;-93;-97;-134;-165
;14049;-96;-102;-134;-165
;14112;-98;-104;-134;-118
;14175;-100;-105;-134;-118
;14238;-103;-108;-125;-118
;14301;-105;-110;-125;-118
;14364;-107;-111;-125;-118
;14427;-108;-111;-125;0
;14490;-112;-111;-125;0
;14553;-112;-111;-93;0
;14616;-112;-111;-93;0
;14679;-112;-111;-93;0
;14742;-112;-111;-93;0
;14805;-112;-111;-93;0
;14868;-112;-111;-55;0
;14931;-112;-111;-55;0
;14994;-112;-111;-55;0
;15057;-112;-111;-55;0
;15120;-112;-111;-55;0
;15183;-112;-111;-42;0
;15246;-112;-111;-42;0
;15309;-112;-111;-42;-31
;15372;-112;-111;-42;-31
;15435;-112;-111;-60;-31
;15498;-112;-111;-60;-31
;15561;-112;-111;-60;-31
;15624;-112;-111;-60;0
;15687;-112;-111;-60;0
;15750;-112;-111;0;0
;15813;-112;-111;0;0
;15876;-112;-111;0;0
;15939;-112;-111;0;0
;16002;-112;-111;0;0
;16065;-112;-111;0;0
;16128;-112;-111;0;0
;16191;-112;-111;0;0
;16254;-112;-111;0;0
;16317;-112;-111;0;0
;16380;-112;-111;0;0
;16443;-112;-111;0;0
;16506;-112;-111;0;0
;16569;-112;-111;0;0
;16632;-112;-111;0;0
;16695;-112;-111;0;0
;16758;-112;-111;0;0
;16821;-112;-111;0;0
;16884;-112;-111;0;0
;16947;-112;-111;0;0
;17010;-112;-111;0;0
;17073;-112;-111;0;0
;17136;-112;-111;0;0
;17199;-111;-111;157;-27
;17262;-107;-111;157;-27
;17325;-105;-111;157;-27
;17388;-103;-111;157;-27
;17451;-100;-111;157;-27
;17514;-94;-111;309;-52
;17577;-90;-111;309;-52
;17640;-87;-111;309;-52
;17703;-83;-111;309;-52
;17766;-76;-111;313;-38
;17829;-72;-111;313;-38
;17892;-69;-111;313;-38
;17955;-65;-111;313;-38
;18018;-58;-111;313;-38
;18081;-54;-111;325;-32
;18144;-50;-111;325;-32
;18207;-47;-111;325;-32
;18270;-39;-111;325;-32
;18333;-36;-111;325;-32
;18396;-32;-111;325;-32
;18459;-28;-111;316;-28
;18522;-21;-111;316;-28
;18585;-17;-111;316;-28
;18648;-14;-111;316;-28
;18711;-6;-111;310;0
;18774;-3;-111;310;0
;18837;0;-111;310;0
;18900;4;-111;310;0
;18963;7;-111;310;0
;19026;15;-111;299;0
;19089;18;-111;299;0
;19152;22;-111;299;0
;19215;26;-111;299;0
;19278;33;-111;299;0
;19341;36;-111;292;0
;19404;40;-111;292;0
;19467;44;-111;292;0
;19530;51;-111;292;0
;19593;55;-111;292;0
;19656;59;-111;251;0
;19719;63;-111;251;0
;19782;73;-111;251;0
;19845;78;-111;251;0
;19908;82;-111;251;0
;19971;86;-111;153;0
;20034;91;-111;153;0
;20097;93;-111;153;0
;20160;95;-111;153;0
;20223;99;-111;51;0
;20286;99;-111;51;0
;20349;99;-111;51;0
;20412;99;-111;51;0
;20475;99;-111;51;0
;20538;99;-111;51;0
;20601;99;-111;51;0
;20664;99;-111;51;0
;20727;99;-111;51;0
;20790;99;-111;51;0
;20853;99;-111;51;0
;20916;99;-111;71;0
;20979;99;-111;71;0
;21042;99;-111;71;0
;21105;99;-111;71;0
;21168;99;-111;71;0
;21231;100;-111;131;0
;21294;103;-111;131;0
;21357;105;-111;131;0
;21420;107;-111;131;0
;21483;108;-111;131;0
;21546;114;-111;189;0
;21609;117;-111;189;0
;21672;121;-111;189;0
;21735;124;-111;189;0
;21798;129;-111;0;0
;21861;129;-111;0;0
;21924;129;-111;0;0
;21987;129;-111;0;0
;22050;129;-111;0;0
;22113;129;-111;0;0
;22176;129;-111;0;0
;22239;129;-111;0;0
;22302;129;-111;0;0
;22365;129;-111;0;0
;22428;129;-111;0;0
;22491;129;-111;0;0
;22554;129;-111;0;0
;22617;129;-111;0;0
;22680;129;-111;0;0
;22743;129;-111;0;0
;22806;129;-111;0;0
;22869;129;-111;0;0
;22932;129;-111;0;0
;22995;129;-111;0;0
;23058;129;-111;0;31
;23121;129;-111;0;31
;23184;129;-111;0;31
;23247;129;-111;-28;31
;23310;129;-110;-28;150
;23373;129;-108;-28;150
;23436;129;-106;-28;150
;23499;129;-104;-28;150
;23562;129;-102;-62;150
;23625;129;-99;-62;65
;23688;129;-99;-62;65
;23751;129;-99;-62;65
;23814;129;-99;-62;65
;23877;129;-99;-63;65
;23940;129;-99;-63;0
;24003;129;-99;-63;0
;24066;129;-99;-63;0
;24129;129;-99;-164;0
;24192;126;-99;-164;0
;24255;124;-99;-164;0
;24318;119;-99;-164;0
;24381;117;-99;-164;0
;24444;114;-99;-239;0
;24507;107;-99;-239;109
;24570;107;-99;-239;109
;24633;99;-99;-239;109
;24696;95;-99;-239;109
;24759;92;-99;-101;109
;24822;92;-99;-101;93
;24885;92;-99;-101;93
;24948;92;-99;-101;93
;25011;92;-99;-101;93
;25074;92;-99;-101;93
;25137;89;-99;-113;93
;25200;88;-96;-113;231
;25263;85;-90;-113;231
;25326;85;-90;-113;231
;25389;83;-83;-106;231
;25452;83;-80;-106;231
;25515;83;-78;-106;0
;25578;83;-78;-106;0
;25641;83;-78;-106;0
;25704;82;-78;-115;0
;25767;79;-78;-115;0
;25830;79;-78;-115;0
;25893;76;-78;-115;0
;25956;75;-78;-115;0
;26019;71;-78;-151;0
;26082;71;-78;-151;0
;26145;67;-76;-151;143
;26208;65;-74;-151;143
;26271;63;-72;-151;143
;26334;60;-68;-72;143
;26397;60;-66;-72;143
;26460;60;-64;-72;71
;26523;60;-64;-72;71
;26586;60;-64;-72;71
;26649;59;-64;-119;71
;26712;58;-64;-119;71
;26775;56;-64;-119;139
;26838;53;-60;-119;139
;26901;52;-58;-119;139
;26964;51;-57;-111;139
;27027;49;-55;-111;139
;27090;48;-53;-111;125
;27153;45;-49;-111;125
;27216;43;-48;-111;125
;27279;41;-44;-94;125
;27342;41;-42;-94;125
;27405;41;-42;-94;43
;27468;41;-42;-94;43
;27531;41;-42;-94;43
;27594;40;-42;-130;43
;27657;39;-42;-130;43
;27720;37;-40;-130;202
;27783;35;-37;-130;202
;27846;32;-30;-130;202
;27909;30;-27;-128;202
;27972;29;-24;-128;202
;28035;27;-21;-128;202
;28098;24;-19;-128;76
;28161;22;-19;-128;76
;28224;21;-19;-101;76
;28287;21;-19;-101;76
;28350;21;-19;-101;91
;28413;21;-19;-101;91
;28476;21;-19;-101;91
;28539;20;-19;-119;91
;28602;17;-19;-119;91
;28665;16;-18;-119;185
;28728;14;-16;-119;185
;28791;13;-13;-119;185
;28854;9;-7;-120;185
;28917;8;-5;-120;185
;28980;6;-2;-120;114
;29043;4;-1;-120;114
;29106;1;1;-108;114
;29169;1;3;-108;114
;29232;1;4;-108;114
;29295;1;6;-108;37
;29358;1;6;-108;37
;29421;1;6;-108;37
;29484;0;6;-146;37
;29547;-2;6;-146;37
;29610;-4;6;-146;37
;29673;-8;9;-146;156
;29736;-10;11;-146;156
;29799;-12;14;-176;156
;29862;-15;16;-176;156
;29925;-20;19;-176;104
;29988;-23;19;-176;104
;30051;-26;19;-176;104
;30114;-31;19;-171;104
;30177;-33;19;-171;104
;30240;-36;19;-171;108
;30303;-38;19;-171;108
;30366;-43;19;-147;108
;30429;-45;19;-147;108
;30492;-47;19;-147;108
;30555;-49;20;-147;495
;30618;-51;24;-147;495
;30681;-54;32;-82;495
;30744;-54;36;-82;495
;30807;-54;39;-82;495
;30870;-54;45;-82;165
;30933;-54;48;-82;165
;30996;-54;50;-68;165
;31059;-54;55;-68;165
;31122;-54;57;-68;97
;31185;-54;58;-68;97
;31248;-54;58;-68;97
;31311;-54;58;-86;97
;31374;-54;58;-86;97
;31437;-54;58;-86;255
;31500;-54;62;-86;255
;31563;-54;67;-86;255
;31626;-54;76;-92;255
;31689;-54;81;-92;255
;31752;-54;86;-92;255
;31815;-54;87;-92;39
;31878;-54;87;-92;39
;31941;-54;87;-98;39
;32004;-54;87;-98;39
;32067;-54;87;-98;39
;32130;-54;87;-98;-98
;32193;-54;87;-98;-98
;32256;-54;87;-67;-98
;32319;-54;87;-67;-98
;32382;-54;87;-67;-98
;32445;-54;87;-67;-102
;32508;-54;87;-67;-102
;32571;-54;87;-86;-102
;32634;-54;87;-86;-102
;32697;-54;87;-86;-102
;32760;-54;87;-86;-95
;32823;-54;87;-86;-95
;32886;-54;87;-97;-95
;32949;-54;87;-97;-95
;33012;-54;87;-97;-95
;33075;-54;87;-97;-49
;33138;-54;87;-97;-49
;33201;-58;87;-182;-49
;33264;-61;87;-182;-49
;33327;-63;87;-182;-49
;33390;-69;87;-182;0
;33453;-72;87;-182;0
;33516;-75;87;-221;0
;33579;-79;87;-221;0
;33642;-86;89;-221;169
;33705;-89;92;-221;169
;33768;-92;94;-221;169
;33831;-98;99;-174;169
;33894;-101;102;-174;169
;33957;-103;102;-174;0
;34020;-106;102;-174;0
;34083;-109;102;-174;0
;34146;-114;102;-172;0
;34209;-117;102;-172;0
;34272;-119;102;-172;0
;34335;-122;102;-172;0
;34398;-124;102;-172;0
;34461;-128;102;-131;0
;34524;-130;102;-131;0
;34587;-132;104;-131;219
;34650;-134;107;-131;219
;34713;-137;114;-131;219
;34776;-138;117;0;219
;34839;-138;123;0;0
;34902;-138;123;0;-109
;34965;-138;123;0;-109
;35028;-138;123;0;-109
;35091;-138;123;0;-109
;35154;-132;123;249;-109
;35217;-127;122;249;-263
;35280;-119;114;249;-263
;35343;-115;109;249;-263
;35406;-112;105;0;-263
;35469;-112;101;0;-263
;35532;-112;96;0;0
;35595;-112;96;0;0
;35658;-112;96;0;0
;35721;-112;96;-74;0
;35784;-112;96;-74;0
;35847;-112;96;-74;0
;35910;-112;96;-74;0
;35973;-112;96;-74;0
;36036;-112;96;-30;0
;36099;-112;96;-30;0
