time;x;y;fx;fy
63;120;-120;0;26
126;120;-120;0;68
189;120;-120;0;68
252;120;-120;0;68
315;120;-120;0;68
378;120;-119;0;142
441;120;-115;0;142
504;120;-113;0;142
567;120;-111;0;142
630;120;-109;0;142
693;120;-104;0;184
756;120;-102;0;184
819;120;-99;0;184
882;120;-94;0;184
945;120;-92;0;184
1008;120;-89;0;205
1071;120;-86;0;205
1134;120;-79;0;205
1197;120;-76;0;205
1260;120;-73;0;205
1323;120;-69;0;231
1386;120;-66;0;231
1449;120;-59;-29;231
1512;120;-56;-29;231
1575;120;-53;-29;231
1638;120;-46;-29;232
1701;120;-43;-29;232
1764;120;-39;-38;232
1827;120;-36;-38;232
1890;120;-33;-38;232
1953;120;-25;-38;248
2016;120;-20;-38;248
2079;120;-16;-42;248
2142;120;-6;-42;248
2205;120;-2;-42;248
2268;120;1;-42;227
2331;120;5;-42;227
2394;120;8;-44;227
2457;120;14;-44;227
2520;120;18;-44;227
2583;120;21;-44;183
2646;120;26;-41;183
2709;120;28;-41;183
2772;120;31;-41;183
2835;120;33;-41;183
2898;120;36;-41;197
2961;120;42;-43;197
3024;120;46;-43;197
3087;120;49;-43;197
3150;120;55;-43;169
3213;120;58;-43;169
3276;120;60;-46;169
3339;120;63;-46;169
3402;120;68;-46;169
3465;120;70;-46;143
3528;120;72;-46;143
3591;120;74;-49;143
3654;120;78;-49;143
3717;120;80;-49;143
3780;120;82;-49;143
3843;120;84;-49;140
3906;120;88;-56;140
3969;120;90;-56;140
4032;120;92;-56;140
4095;120;94;-56;140
4158;120;98;-56;149
4221;120;100;-58;149
4284;120;102;-58;149
4347;120;104;-58;149
4410;120;109;-58;149
4473;120;109;-58;103
4536;120;109;-58;103
4599;120;109;-65;103
4662;120;109;-65;103
4725;120;109;-65;103
4788;120;109;-65;105
4851;120;109;-65;105
4914;120;109;-63;105
4977;120;109;-63;105
5040;120;109;-63;105
5103;120;110;-63;157
5166;120;114;-58;157
5229;120;116;-58;157
5292;120;118;-58;157
5355;120;121;-58;157
5418;120;122;-58;57
5481;120;122;-47;57
5544;120;122;-47;57
5607;120;122;-47;57
5670;120;122;-47;-60
5733;120;122;-47;-60
5796;120;122;-50;-60
5859;120;122;-50;-60
5922;120;122;-50;-60
5985;120;122;-50;-29
6048;120;122;-50;-29
6111;120;122;-50;-29
6174;120;122;-57;-29
6237;120;122;-57;-29
6300;120;122;-57;-29
6363;120;122;-57;0
6426;120;122;-60;0
6489;120;122;-60;0
6552;120;122;-60;0
6615;120;122;-60;0
6678;120;122;-60;0
6741;120;122;-55;0
6804;120;122;-55;0
6867;120;122;-55;0
6930;120;122;-55;-33
6993;120;122;-55;-33
7056;120;122;-41;-33
7119;120;122;-41;-33
7182;120;122;-41;-33
7245;120;122;-41;-30
7308;120;122;-41;-30
7371;120;122;-43;-30
7434;120;122;-43;-30
7497;120;122;-43;-30
7560;120;122;-43;-39
7623;120;122;-43;-39
7686;120;122;-66;-39
7749;120;122;-66;-39
7812;120;122;-66;-39
7875;120;122;-66;-123
7938;120;119;-106;-123
8001;120;117;-106;-123
8064;120;115;-106;-123
8127;120;114;-106;-123
8190;120;110;-106;-122
8253;120;108;-106;-122
8316;117;107;-196;-122
8379;114;105;-196;-122
8442;108;102;-196;-122
8505;105;101;-196;0
8568;102;101;-196;0
8631;98;101;-348;0
8694;91;101;-348;0
8757;87;101;-348;0
8820;83;100;-348;-160
8883;78;97;-348;-160
8946;74;93;-120;-160
9009;72;91;-120;-160
9072;70;88;-120;-160
9135;69;87;-120;-107
9198;64;87;-251;-107
9261;60;87;-251;-107
9324;56;87;-251;-107
9387;52;87;-251;-107
9450;44;85;-251;-139
9513;41;83;-169;-139
9576;38;81;-169;-139
9639;36;79;-169;-139
9702;31;75;-169;-236
9765;28;71;-169;-236
9828;26;67;-38;-236
9891;26;64;-38;-236
9954;26;57;-38;-236
10017;26;54;-38;-188
10080;26;51;-38;-188
10143;26;49;-78;-188
10206;26;44;-78;-188
10269;26;41;-78;-188
10332;26;38;-78;-237
10395;26;35;-78;-237
10458;23;28;-190;-237
10521;20;25;-190;-237
10584;17;22;-190;-237
10647;14;19;-190;-237
10710;8;13;-190;-166
10773;5;11;-208;-166
10836;2;8;-208;-166
10899;0;6;-208;-166
10962;-7;0;-208;-297
11025;-10;-2;-208;-297
11088;-13;-6;-157;-297
11151;-15;-11;-157;-297
11214;-20;-20;-157;-297
11277;-22;-24;-157;-299
11340;-24;-29;-157;-299
11403;-27;-32;-205;-299
11466;-34;-39;-205;-299
11529;-37;-43;-205;-299
11592;-40;-46;-205;-242
11655;-43;-49;-205;-242
11718;-52;-57;-270;-242
11781;-56;-62;-270;-242
11844;-61;-66;-270;-242
11907;-65;-71;-270;-283
11970;-71;-78;-175;-283
12033;-74;-82;-175;-283
12096;-76;-87;-175;-283
12159;-78;-91;-175;-283
12222;-83;-99;-175;-225
12285;-85;-102;-173;-225
12348;-88;-105;-173;-225
12411;-90;-109;-173;-225
12474;-95;-115;-173;-99
12537;-98;-115;-173;-99
12600;-100;-115;-173;-99
12663;-104;-115;-335;-99
12726;-111;-115;-335;-99
12789;-115;-115;-335;-99
12852;-119;-115;-335;0
12915;-123;-115;-335;0
12978;-128;-115;-169;0
13041;-130;-115;-169;0
13104;-132;-115;-169;0
13167;-135;-115;-169;0
13230;-138;-115;0;0
13293;-138;-115;0;0
13356;-138;-115;0;0
13419;-138;-115;0;0
13482;-138;-115;0;0
13545;-138;-115;0;0
13608;-138;-115;0;0
13671;-138;-115;0;0
13734;-138;-115;0;0
13797;-138;-115;0;0
13860;-138;-115;0;0
13923;-138;-115;0;0
13986;-138;-115;0;0
14049;-138;-115;0;0
14112;-138;-115;0;0
14175;-138;-115;0;0
14238;-138;-115;71;0
14301;-138;-115;71;0
14364;-138;-115;71;0
14427;-138;-115;71;0
14490;-138;-115;173;0
14553;-136;-115;173;0
14616;-133;-115;173;0
14679;-131;-115;173;-27
14742;-126;-115;173;-27
14805;-123;-115;173;-27
14868;-119;-115;263;-27
14931;-114;-115;263;-27
14994;-105;-115;263;-27
15057;-100;-115;263;0
15120;-95;-115;263;0
15183;-86;-115;257;0
15246;-81;-115;257;0
15309;-76;-115;257;0
15372;-72;-115;257;0
15435;-67;-115;257;0
15498;-59;-115;283;0
15561;-56;-115;283;0
15624;-52;-115;283;0
15687;-48;-115;283;0
15750;-40;-115;274;0
15813;-36;-115;274;0
15876;-31;-115;274;0
15939;-26;-115;274;0
16002;-17;-115;274;0
16065;-12;-115;206;0
16128;-9;-115;206;0
16191;-3;-115;206;0
16254;0;-115;206;0
16317;3;-115;206;0
16380;6;-115;169;0
16443;11;-115;169;0
16506;13;-115;169;0
16569;16;-115;169;0
16632;18;-115;169;0
16695;23;-115;151;0
16758;25;-115;151;0
16821;27;-115;151;0
16884;31;-115;151;0
16947;33;-115;151;0
17010;35;-115;174;0
17073;38;-115;174;0
17136;43;-115;174;0
17199;45;-115;174;0
17262;48;-115;174;0
17325;50;-115;176;0
17388;55;-115;176;0
17451;58;-115;176;0
17514;61;-115;176;0
17577;63;-115;176;0
17640;66;-115;191;0
17703;69;-115;191;0
17766;76;-115;191;0
17829;79;-115;191;0
17892;82;-115;191;0
17955;85;-115;178;0
18018;90;-115;178;0
18081;92;-115;178;0
18144;95;-115;178;0
18207;97;-115;178;-78
18270;102;-115;152;-78
18333;104;-115;152;-78
18396;106;-115;152;-78
18459;110;-115;152;-71
18522;112;-115;96;-71
18585;112;-115;96;-71
18648;112;-115;96;-71
18711;112;-115;96;-71
18774;112;-115;96;0
18837;112;-115;96;0
18900;112;-115;0;0
18963;112;-115;0;0
19026;112;-115;0;0
19089;112;-115;0;0
19152;112;-115;0;0
19215;112;-115;0;0
19278;112;-115;0;0
19341;112;-115;0;0
19404;112;-115;0;0
19467;112;-115;0;0
19530;112;-115;0;0
19593;112;-115;0;0
19656;112;-115;0;0
19719;112;-115;0;0
19782;112;-115;0;0
19845;112;-115;0;0
19908;112;-115;0;0
19971;112;-115;0;0
20034;112;-115;0;0
20097;112;-115;0;0
20160;112;-115;0;0
20223;112;-115;0;0
