x;y
120;-120
120;-120
120;-120
120;-120
120;-117
120;-115
120;-112
120;-110
120;-104
120;-102
120;-99
120;-97
120;-92
120;-89
120;-86
120;-83
120;-76
120;-73
120;-70
120;-63
120;-60
120;-57
120;-54
120;-50
120;-45
120;-43
120;-40
120;-37
120;-32
120;-30
120;-27
120;-25
120;-20
120;-17
120;-14
120;-11
120;-4
120;-1
120;1
120;3
120;6
120;8
120;10
120;11
120;16
120;19
120;21
120;24
120;28
120;30
120;32
120;34
120;38
120;40
120;42
120;44
120;46
120;47
120;49
120;53
120;55
120;57
120;59
120;61
120;61
120;61
120;61
120;61
120;61
120;61
120;61
120;61
120;61
120;62
120;65
120;69
120;71
120;73
120;75
120;79
120;81
120;83
120;85
120;88
120;90
120;91
120;93
120;95
120;97
120;98
120;100
120;103
120;104
120;104
120;104
120;104
120;104
120;104
120;106
120;109
120;111
120;113
120;114
120;117
120;119
120;120
120;122
120;123
