x;y
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
120;123
119;123
118;123
116;123
113;123
112;121
110;120
108;118
105;115
104;114
102;111
100;109
100;104
100;101
100;99
100;99
99;99
98;99
96;99
95;99
92;94
89;91
87;89
84;86
79;81
75;78
73;74
72;71
69;64
67;61
65;59
63;56
58;51
56;49
53;46
51;44
46;39
43;36
41;34
38;31
33;26
30;24
28;21
25;19
20;14
17;11
15;9
12;6
7;1
5;0
2;-3
0;-5
-4;-10
-7;-13
-9;-15
-12;-18
-17;-23
-20;-25
-22;-28
-25;-30
-30;-35
-34;-38
-37;-40
-40;-43
-47;-47
-50;-49
-52;-51
-55;-53
-60;-58
-62;-60
-64;-63
-66;-65
-69;-69
-70;-72
-72;-73
-73;-75
-77;-78
-79;-80
-80;-82
-82;-84
-85;-87
-87;-89
-89;-90
-92;-92
-94;-92
-94;-92
-94;-92
-94;-92
-94;-92
-94;-92
-94;-92
-94;-92
-94;-92
-94;-94
-94;-95
-94;-99
-94;-101
-94;-103
-94;-105
-95;-109
-97;-111
-99;-113
-103;-116
-106;-116
-108;-116
-111;-116
-117;-116
-120;-116
-123;-116
-125;-116
-125;-116
-125;-116
-125;-116
-125;-116
-125;-114
-125;-113
-125;-112
-125;-109
-125;-107
-125;-107
-125;-107
-125;-107
-125;-107
-125;-107
-125;-107
-125;-107
-125;-107
-125;-107
-125;-107
