x;y
-129;123
-128;123
-125;123
-117;123
-114;123
-110;123
-103;123
-99;123
-96;123
-92;123
-85;123
-81;123
-77;123
-70;123
-67;123
-63;123
-59;123
-56;123
-48;123
-45;123
-41;123
-38;123
-34;123
-27;123
-23;123
-19;123
-16;123
-8;123
-5;123
-1;123
5;123
12;123
20;123
27;123
31;123
38;123
45;123
49;123
53;123
56;123
64;123
67;123
71;123
78;123
85;123
89;123
97;123
101;123
106;123
110;123
120;123
125;123
128;123
131;123
138;123
141;123
144;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
145;123
