x;y
-139;-122
-139;-122
-135;-122
-128;-122
-128;-122
-122;-122
-119;-122
-115;-122
-109;-122
-106;-122
-102;-122
-99;-122
-96;-122
-92;-122
-85;-122
-81;-122
-74;-122
-70;-122
-66;-122
-63;-122
-59;-122
-52;-122
-48;-122
-44;-122
-37;-122
-37;-122
-30;-122
-23;-122
-19;-122
-19;-122
-12;-122
-4;-122
-1;-122
-1;-122
6;-122
9;-122
13;-122
20;-122
24;-122
28;-122
31;-122
38;-122
42;-122
46;-122
53;-122
57;-122
60;-122
64;-122
71;-122
71;-122
78;-122
82;-122
89;-122
93;-122
97;-122
100;-122
108;-122
111;-122
115;-122
119;-122
122;-122
124;-122
