no;time;x;y;fx;fy;;;;;;;;;;
1;63;120;-119;0;221;;;;;;;;;;
2;126;120;-112;0;221;;;;;;;;;;40.224
3;189;120;-109;0;221;;;;;;;;;;40.162
4;252;120;-105;0;221;;;;;;;;;;
5;315;120;-102;0;221;;;;;;;;;;
6;378;120;-99;0;221;;;;;;;;;;
7;441;120;-98;0;103;;;;;;;;;;
8;504;120;-98;0;103;;;;;;;;;;
9;567;120;-98;0;103;;;;;;;;;;
10;630;120;-98;0;103;;;;;;;;;;
11;693;120;-97;0;144;;;;;;;;;;
12;756;120;-95;0;144;;;;;;;;;;
13;819;120;-93;0;144;;;;;;;;;;
14;882;120;-91;0;144;;;;;;;;;;
15;945;120;-87;-28;144;;;;;;;;;;
16;1008;120;-84;-28;320;;;;;;;;;;
17;1071;120;-80;-28;320;;;;;;;;;;
18;1134;120;-76;-28;320;;;;;;;;;;
19;1197;120;-69;-28;320;;;;;;;;;;
20;1260;120;-66;-29;320;;;;;;;;;;
21;1323;120;-62;-29;285;;;;;;;;;;
22;1386;120;-58;-29;285;;;;;;;;;;
23;1449;120;-51;-29;285;;;;;;;;;;
24;1512;120;-47;-29;285;;;;;;;;;;
25;1575;120;-44;-33;285;;;;;;;;;;
26;1638;120;-36;-33;285;;;;;;;;;;
27;1701;120;-33;-33;285;;;;;;;;;;
28;1764;120;-29;-33;285;;;;;;;;;;
29;1827;120;-25;-33;285;;;;;;;;;;
30;1890;120;-22;-33;285;;;;;;;;;;
31;1953;120;-13;-33;247;;;;;;;;;;
32;2016;120;-8;-33;247;;;;;;;;;;
33;2079;120;-4;-33;247;;;;;;;;;;
34;2142;120;0;-33;247;;;;;;;;;;
35;2205;120;9;-31;162;;;;;;;;;;
36;2268;120;12;-31;162;;;;;;;;;;
37;2331;120;14;-31;162;;;;;;;;;;
38;2394;120;17;-31;162;;;;;;;;;;
39;2457;120;22;-31;162;;;;;;;;;;
40;2520;120;24;-30;169;;;;;;;;;;
41;2583;120;27;-30;169;;;;;;;;;;
42;2646;120;32;-30;169;;;;;;;;;;
43;2709;120;34;-30;169;;;;;;;;;;
44;2772;120;37;-30;169;;;;;;;;;;
45;2835;120;39;-30;169;;;;;;;;;;
46;2898;120;42;-32;169;;;;;;;;;;
47;2961;120;47;-32;169;;;;;;;;;;
48;3024;120;49;-32;169;;;;;;;;;;
49;3087;120;52;-32;169;;;;;;;;;;
50;3150;120;54;-32;169;;;;;;;;;;
51;3213;120;58;-34;120;;;;;;;;;;
52;3276;120;59;-34;120;;;;;;;;;;
53;3339;120;61;-34;120;;;;;;;;;;
54;3402;120;63;-34;120;;;;;;;;;;
55;3465;120;65;-31;87;;;;;;;;;;
56;3528;120;65;-31;87;;;;;;;;;;
57;3591;120;65;-31;87;;;;;;;;;;
58;3654;120;65;-31;87;;;;;;;;;;
