no;time;x;y;fx;fy
1;63;122;-117;0;123
2;126;122;-116;0;116
3;189;122;-114;0;116
4;252;122;-113;0;116
5;315;122;-111;0;116
6;378;122;-108;0;116
7;441;122;-108;0;92
8;504;122;-108;0;92
9;567;122;-108;0;92
10;630;122;-108;0;92
11;693;122;-108;0;92
12;756;122;-108;0;107
13;819;122;-108;0;107
14;882;122;-108;0;107
15;945;122;-108;0;107
16;1008;122;-108;0;107
17;1071;122;-108;0;90
18;1134;122;-108;0;90
19;1197;122;-108;0;90
20;1260;122;-108;0;90
21;1323;122;-108;0;90
22;1386;122;-108;0;90
23;1449;122;-108;0;90
24;1512;122;-108;0;90
25;1575;122;-108;0;90
26;1638;122;-108;0;135
27;1701;122;-106;0;135
28;1764;122;-104;0;135
29;1827;122;-102;0;135
30;1890;122;-100;0;135
31;1953;122;-96;0;286
32;2016;122;-92;0;286
33;2079;122;-89;0;286
34;2142;122;-85;0;286
35;2205;122;-78;0;286
36;2268;122;-74;0;286
37;2331;122;-69;0;254
38;2394;122;-65;0;254
39;2457;122;-55;0;254
40;2520;122;-50;0;254
41;2583;122;-46;0;254
42;2646;122;-37;0;230
43;2709;122;-34;0;230
44;2772;122;-31;0;230
45;2835;122;-27;0;230
46;2898;122;-24;0;230
47;2961;122;-17;0;194
48;3024;122;-14;0;194
49;3087;122;-11;0;194
50;3150;122;-8;0;194
51;3213;122;-1;0;194
52;3276;122;1;0;195
53;3339;122;4;0;195
54;3402;122;11;0;195
55;3465;122;14;0;195
56;3528;122;17;0;195
57;3591;122;21;0;234
58;3654;122;24;-31;234
59;3717;122;31;-31;234
60;3780;122;34;-31;234
61;3843;122;37;-31;234
62;3906;122;41;-31;195
63;3969;122;47;-29;195
64;4032;122;50;-29;195
65;4095;122;54;-29;195
66;4158;122;57;-29;195
67;4221;122;62;-29;116
68;4284;122;63;-27;116
69;4347;122;65;-27;116
70;4410;122;66;-27;116
71;4473;122;69;-27;116
72;4536;122;69;-27;100
73;4599;122;69;-30;100
74;4662;122;69;-30;100
75;4725;122;69;-30;100
76;4788;122;69;-30;100
77;4851;122;71;-30;165
78;4914;122;76;-34;165
79;4977;122;78;-34;165
80;5040;122;81;-34;165
81;5103;122;83;-34;165
82;5166;122;86;-34;220
83;5229;122;93;-37;220
84;5292;122;96;-37;220
85;5355;122;99;-37;220
86;5418;122;105;-37;96
87;5481;122;105;-39;96
88;5544;122;105;-39;96
89;5607;122;105;-39;96
90;5670;122;105;-39;96
91;5733;122;105;-39;64
92;5796;122;105;-32;64
93;5859;122;105;-32;64
94;5922;122;105;-32;64
95;5985;122;105;-32;64
96;6048;122;105;-32;159
97;6111;122;107;-46;159
98;6174;122;112;-46;159
99;6237;122;115;-46;159
100;6300;122;117;-46;159
101;6363;122;120;-46;111
102;6426;122;123;-46;111
103;6489;122;124;-46;111
104;6552;122;126;-46;111
105;6615;122;127;-46;111
106;6678;122;129;-46;0
107;6741;122;128;-54;-130
108;6804;122;126;-54;-130
109;6867;122;124;-54;-130
110;6930;122;121;-54;-130
111;6993;122;119;-54;-130
112;7056;122;118;-53;-90
113;7119;122;118;-53;-90
114;7182;122;118;-53;-90
115;7245;122;118;-53;-90
116;7308;122;118;-53;-90
117;7371;122;118;-66;0
118;7434;122;118;-66;0
119;7497;122;118;-66;0
120;7560;122;118;-66;0
121;7623;122;118;-66;0
122;7686;122;118;-47;0
123;7749;122;118;-47;0
124;7812;122;118;-47;0
125;7875;122;118;-47;0
126;7938;122;118;-39;0
127;8001;122;118;-39;0
128;8064;122;118;-39;0
129;8127;122;118;-39;0
130;8190;122;118;-39;0
131;8253;122;118;-43;0
132;8316;122;118;-43;0
133;8379;122;118;-43;0
134;8442;122;118;-43;0
135;8505;122;118;-43;0
136;8568;122;118;-59;0
137;8631;122;118;-59;0
138;8694;122;118;-59;0
139;8757;122;118;-59;0
140;8820;122;118;-59;0
141;8883;122;118;-59;0
142;8946;122;118;-96;0
143;9009;122;118;-96;0
144;9072;122;118;-96;0
145;9135;122;118;-96;0
146;9198;121;118;-120;-42
147;9261;119;118;-120;-42
148;9324;118;118;-120;-42
149;9387;116;118;-120;-42
150;9450;113;118;-120;-42
151;9513;111;118;-127;-72
152;9576;108;118;-127;-72
153;9639;106;118;-127;-72
154;9702;104;118;-127;-72
155;9765;102;118;-127;-72
156;9828;101;117;0;-199
157;9891;101;110;0;-199
158;9954;101;107;0;-199
159;10017;101;104;0;-199
160;10080;101;101;0;-199
161;10143;101;96;-36;-131
162;10206;101;94;-36;-131
163;10269;101;92;-36;-131
164;10332;101;91;-36;-131
165;10395;101;87;-120;-29
166;10458;99;87;-120;-29
167;10521;98;87;-120;-29
168;10584;96;87;-120;-29
169;10647;93;87;-120;-29
170;10710;91;87;-126;-74
171;10773;89;87;-126;-74
172;10836;88;87;-126;-74
173;10899;84;87;-126;-74
174;10962;83;87;-126;-74
175;11025;81;87;-126;-74
176;11088;80;85;-55;-190
177;11151;80;80;-55;-190
178;11214;80;77;-55;-190
179;11277;80;75;-55;-190
180;11340;80;72;-55;-190
181;11403;80;71;-99;-84
182;11466;80;71;-99;-84
183;11529;80;71;-99;-84
184;11592;80;71;-99;-84
185;11655;80;71;-122;-49
186;11718;78;71;-122;-49
187;11781;76;71;-122;-49
188;11844;75;71;-122;-49
189;11907;71;71;-122;-49
190;11970;70;70;-110;-118
191;12033;70;69;-110;-118
192;12096;70;67;-110;-118
193;12159;70;64;-110;-118
194;12222;70;63;-110;-118
195;12285;70;62;-89;-110
196;12348;70;62;-89;-110
197;12411;70;62;-89;-110
198;12474;70;62;-89;-110
199;12537;70;62;-89;-110
200;12600;70;62;-132;-82
201;12663;66;62;-132;-82
202;12726;65;62;-132;-82
203;12789;63;62;-132;-82
204;12852;61;62;-132;-82
205;12915;58;60;-111;-128
206;12978;56;58;-111;-128
207;13041;55;57;-111;-128
208;13104;54;55;-111;-128
209;13167;51;51;-111;-128
210;13230;50;49;-102;-137
211;13293;50;48;-102;-137
212;13356;50;46;-102;-137
213;13419;50;42;-102;-137
214;13482;50;40;-102;-137
215;13545;50;39;-102;-99
216;13608;49;39;-119;-99
217;13671;46;39;-119;-99
218;13734;45;39;-119;-99
219;13797;43;39;-119;-99
220;13860;42;39;-119;-81
221;13923;38;39;-148;-81
222;13986;36;39;-148;-81
223;14049;34;39;-148;-81
224;14112;32;39;-148;-81
225;14175;28;36;-148;-141
226;14238;27;34;-109;-141
227;14301;27;32;-109;-141
228;14364;27;30;-109;-141
229;14427;27;26;-109;-90
230;14490;27;26;-109;-90
231;14553;27;26;-121;-90
232;14616;25;26;-121;-90
233;14679;22;26;-121;-90
234;14742;20;26;-121;-104
235;14805;18;26;-121;-104
236;14868;17;26;-115;-104
237;14931;14;26;-115;-104
238;14994;12;26;-115;-104
239;15057;11;26;-115;-146
240;15120;9;25;-115;-146
241;15183;7;20;-84;-146
242;15246;7;18;-84;-146
243;15309;7;16;-84;-146
244;15372;7;14;-84;-146
245;15435;7;10;-84;-142
246;15498;7;8;-81;-142
247;15561;7;6;-81;-142
248;15624;7;4;-81;-142
249;15687;7;2;-81;-99
250;15750;7;2;-81;-99
251;15813;7;2;-98;-99
252;15876;7;2;-98;-99
253;15939;7;2;-98;-99
254;16002;7;1;-98;-120
255;16065;7;0;-98;-120
256;16128;7;-2;-94;-120
257;16191;7;-5;-94;-120
258;16254;7;-7;-94;-120
259;16317;7;-8;-94;-102
260;16380;7;-8;-94;-102
261;16443;7;-8;-108;-102
262;16506;7;-8;-108;-102
263;16569;7;-8;-108;-102
264;16632;7;-8;-108;-85
265;16695;7;-8;-127;-85
266;16758;6;-8;-127;-85
267;16821;4;-8;-127;-85
268;16884;2;-8;-127;-85
269;16947;0;-8;-127;-91
270;17010;-2;-8;-123;-91
271;17073;-4;-8;-123;-91
272;17136;-5;-8;-123;-91
273;17199;-9;-8;-123;-148
274;17262;-11;-10;-123;-148
275;17325;-12;-12;-123;-148
276;17388;-12;-14;-87;-148
277;17451;-12;-18;-87;-148
278;17514;-12;-20;-87;-148
279;17577;-12;-20;-87;-107
280;17640;-12;-20;-101;-107
