x;y
-108;129
-108;126
-108;124
-108;119
-108;116
-108;110
-108;110
-108;107
-108;99
-110;96
-114;89
-115;85
-119;78
-120;75
-124;68
-125;64
-127;61
-131;54
-131;51
-131;48
-131;43
-131;40
-131;40
-131;35
-131;33
-131;29
-131;27
-131;24
-131;20
-131;15
-131;10
-131;5
-131;0
-131;-3
-131;-7
-131;-7
-131;-7
-131;-7
-131;-7
-131;-10
-131;-14
-131;-20
-129;-23
-128;-26
-126;-28
-124;-30
-122;-31
-120;-35
-120;-37
-120;-39
-120;-43
-120;-45
-120;-47
-120;-53
-120;-58
-120;-63
-120;-67
-120;-72
-120;-79
-120;-79
-120;-79
-120;-79
-120;-79
-120;-79
-120;-79
-120;-79
-120;-79
-120;-79
-120;-80
-120;-87
-120;-90
-120;-93
-120;-100
-120;-107
-120;-110
-120;-113
-120;-117
-120;-120
-120;-120
-120;-120
-120;-120
-120;-120
-120;-120
