x;y
118;-110
118;-110
118;-109
118;-107
118;-106
118;-103
118;-101
118;-101
118;-101
118;-101
118;-101
118;-101
118;-101
118;-101
118;-101
118;-101
117;-101
116;-101
112;-101
111;-101
109;-101
106;-101
106;-101
103;-101
101;-101
98;-101
98;-101
98;-97
98;-93
98;-86
98;-86
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
98;-79
96;-79
94;-79
92;-79
90;-79
87;-79
85;-79
83;-79
81;-79
77;-79
75;-79
75;-78
75;-75
75;-69
75;-65
75;-62
75;-59
75;-59
75;-59
75;-59
75;-59
75;-59
75;-59
75;-59
75;-59
75;-59
72;-59
70;-59
68;-59
64;-59
62;-59
60;-59
56;-59
54;-59
52;-59
51;-59
51;-58
51;-56
51;-50
51;-48
51;-45
51;-44
51;-44
51;-44
51;-44
51;-44
48;-44
47;-44
45;-44
42;-44
40;-44
39;-44
37;-44
33;-44
32;-44
32;-44
32;-39
32;-35
32;-30
32;-25
32;-21
32;-14
32;-14
32;-14
32;-14
32;-14
32;-14
32;-14
32;-14
31;-14
29;-14
27;-14
26;-14
22;-14
20;-14
18;-14
14;-14
14;-14
10;-14
9;-14
9;-14
9;-10
9;-6
9;-3
9;4
9;7
9;7
9;7
9;7
7;7
6;7
2;7
2;7
1;7
-2;7
-4;7
-7;7
-9;7
-10;7
-11;7
-11;7
-11;12
-11;16
-11;19
-11;22
-11;27
-11;27
-11;27
-11;27
-12;27
-15;27
-16;27
-19;27
-21;27
-22;27
-24;27
-27;27
-28;27
-30;27
-30;27
-30;27
-30;27
-30;27
-30;27
-31;27
-35;27
-36;27
-38;27
-40;27
-44;27
-46;27
-50;27
-52;27
-52;27
-52;27
-52;27
-52;33
-52;36
-52;40
-52;43
-52;47
-52;53
-52;55
-52;60
-52;63
-52;63
-52;65
-52;65
-52;65
-52;65
-52;65
-52;65
-52;65
-54;65
-55;65
-57;65
-58;65
-60;65
-63;65
-64;65
-67;65
-69;65
-70;65
-70;65
-70;65
-70;67
-70;70
-70;76
-70;79
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-70;82
-72;82
-74;82
-76;82
-77;82
-79;82
-81;82
-84;82
-86;82
-88;82
-91;82
-91;82
-91;82
-91;85
-91;86
-92;88
-95;91
-97;91
-98;91
-100;91
-100;91
-100;91
-100;91
-100;91
-100;91
-100;91
-100;91
-100;93
-100;98
-100;107
-100;112
-100;117
-100;121
-100;121
-100;121
-100;121
-100;121
-100;121
-100;121
-100;119
-100;116
-100;114
-100;112
-100;110
-100;110
-100;110
-100;110
-100;110
-100;110
